user_id,assignment_time,experiment_group,channel,device_type,source_intent,age_band
500000,2026-01-12 13:10:00,control,paid_social,Android,low_intent,25-34
500001,2026-02-11 20:13:00,treatment,app_store,iOS,high_intent,25-34
500002,2026-03-11 22:10:00,treatment,paid_social,iOS,high_intent,25-34
500003,2026-02-14 07:04:00,treatment,paid_social,Android,mid_intent,25-34
500004,2026-01-08 21:34:00,control,offline_broker,Android,mid_intent,35-44
500005,2026-01-27 07:49:00,control,referral,Android,low_intent,18-24
500006,2026-03-14 19:01:00,control,paid_social,iOS,mid_intent,18-24
500007,2026-03-02 17:54:00,treatment,referral,Android,high_intent,45+
500008,2026-03-04 03:44:00,treatment,paid_social,iOS,mid_intent,35-44
500009,2026-02-09 03:19:00,control,paid_social,Android,high_intent,25-34
500010,2026-02-14 01:14:00,treatment,content_seo,Android,low_intent,25-34
500011,2026-01-28 04:59:00,control,paid_social,Android,high_intent,25-34
500012,2026-02-04 14:58:00,treatment,paid_social,Android,low_intent,18-24
500013,2026-03-15 08:10:00,treatment,paid_social,Android,low_intent,18-24
500014,2026-01-15 07:55:00,treatment,content_seo,iOS,mid_intent,35-44
500015,2026-02-26 08:04:00,treatment,offline_broker,iOS,high_intent,18-24
500016,2026-03-11 00:23:00,control,content_seo,Android,mid_intent,25-34
500017,2026-01-29 16:26:00,treatment,content_seo,Android,mid_intent,18-24
500018,2026-01-04 04:19:00,control,offline_broker,iOS,high_intent,45+
500019,2026-01-28 11:54:00,control,referral,Android,mid_intent,25-34
500020,2026-03-15 16:06:00,control,referral,iOS,low_intent,25-34
500021,2026-02-09 00:45:00,treatment,paid_social,iOS,low_intent,25-34
500022,2026-03-12 14:16:00,control,offline_broker,iOS,mid_intent,35-44
500023,2026-02-14 04:25:00,treatment,referral,iOS,mid_intent,35-44
500024,2026-01-18 08:05:00,treatment,app_store,Android,high_intent,25-34
500025,2026-01-09 00:35:00,control,referral,iOS,low_intent,25-34
500026,2026-01-03 05:38:00,treatment,app_store,Android,high_intent,45+
500027,2026-02-15 12:19:00,treatment,content_seo,iOS,low_intent,25-34
500028,2026-01-31 05:30:00,control,offline_broker,Android,low_intent,45+
500029,2026-01-18 18:23:00,control,content_seo,iOS,mid_intent,35-44
500030,2026-02-26 14:06:00,control,paid_social,iOS,mid_intent,25-34
500031,2026-02-08 23:41:00,treatment,app_store,iOS,high_intent,45+
500032,2026-03-06 17:21:00,control,app_store,Android,mid_intent,25-34
500033,2026-02-11 05:37:00,control,referral,Android,low_intent,18-24
500034,2026-01-14 21:30:00,treatment,offline_broker,Android,mid_intent,45+
500035,2026-03-14 21:11:00,control,offline_broker,Android,low_intent,35-44
500036,2026-02-23 02:31:00,treatment,offline_broker,iOS,mid_intent,25-34
500037,2026-02-14 11:56:00,control,referral,iOS,mid_intent,35-44
500038,2026-02-21 19:31:00,control,content_seo,Android,mid_intent,18-24
500039,2026-01-01 11:46:00,control,referral,iOS,high_intent,25-34
500040,2026-01-09 00:01:00,treatment,app_store,Android,mid_intent,25-34
500041,2026-02-19 22:16:00,control,paid_social,Android,mid_intent,25-34
500042,2026-02-12 22:28:00,treatment,paid_social,Android,mid_intent,35-44
500043,2026-02-04 19:11:00,control,content_seo,iOS,high_intent,18-24
500044,2026-01-09 12:15:00,control,paid_social,Android,high_intent,25-34
500045,2026-01-08 04:43:00,control,paid_social,iOS,mid_intent,35-44
500046,2026-02-24 03:05:00,control,offline_broker,Android,mid_intent,25-34
500047,2026-02-22 06:36:00,treatment,paid_social,Android,mid_intent,18-24
500048,2026-02-19 20:07:00,control,paid_social,iOS,high_intent,45+
500049,2026-03-02 19:10:00,control,paid_social,Android,mid_intent,25-34
500050,2026-02-20 05:14:00,treatment,offline_broker,Android,mid_intent,18-24
500051,2026-02-02 04:17:00,control,paid_social,Android,mid_intent,18-24
500052,2026-02-04 15:07:00,treatment,app_store,iOS,high_intent,25-34
500053,2026-01-31 04:40:00,control,referral,Android,mid_intent,18-24
500054,2026-01-27 04:06:00,treatment,app_store,iOS,mid_intent,25-34
500055,2026-01-15 08:28:00,control,paid_social,iOS,low_intent,25-34
500056,2026-01-21 12:22:00,control,referral,Android,mid_intent,25-34
500057,2026-02-09 23:05:00,treatment,paid_social,Android,high_intent,25-34
500058,2026-02-01 10:04:00,treatment,paid_social,iOS,mid_intent,35-44
500059,2026-02-28 09:44:00,control,app_store,Android,mid_intent,35-44
500060,2026-01-29 22:04:00,control,app_store,iOS,mid_intent,25-34
500061,2026-02-17 18:06:00,control,content_seo,iOS,mid_intent,18-24
500062,2026-02-16 08:21:00,treatment,offline_broker,Android,high_intent,18-24
500063,2026-02-17 23:51:00,treatment,offline_broker,iOS,high_intent,35-44
500064,2026-03-13 13:24:00,treatment,app_store,Android,low_intent,35-44
500065,2026-01-30 08:52:00,control,paid_social,Android,mid_intent,35-44
500066,2026-01-05 20:49:00,control,paid_social,iOS,mid_intent,25-34
500067,2026-01-18 06:58:00,treatment,content_seo,iOS,mid_intent,25-34
500068,2026-01-11 20:44:00,treatment,content_seo,Android,low_intent,35-44
500069,2026-01-30 19:00:00,control,offline_broker,iOS,high_intent,45+
500070,2026-01-30 23:10:00,treatment,referral,iOS,mid_intent,35-44
500071,2026-03-04 03:11:00,treatment,referral,iOS,high_intent,35-44
500072,2026-01-12 00:20:00,treatment,paid_social,Android,mid_intent,25-34
500073,2026-01-07 16:05:00,treatment,offline_broker,Android,high_intent,18-24
500074,2026-02-09 23:55:00,control,referral,Android,mid_intent,35-44
500075,2026-02-07 08:27:00,control,referral,Android,mid_intent,25-34
500076,2026-02-25 17:10:00,treatment,offline_broker,iOS,mid_intent,25-34
500077,2026-02-11 20:59:00,control,offline_broker,Android,low_intent,35-44
500078,2026-03-13 23:32:00,control,referral,Android,mid_intent,35-44
500079,2026-01-28 09:05:00,control,paid_social,iOS,low_intent,45+
500080,2026-03-11 22:27:00,treatment,app_store,Android,mid_intent,25-34
500081,2026-02-10 20:11:00,treatment,referral,Android,mid_intent,35-44
500082,2026-01-27 15:59:00,treatment,offline_broker,Android,low_intent,18-24
500083,2026-02-26 07:48:00,control,app_store,iOS,mid_intent,35-44
500084,2026-02-15 21:09:00,treatment,paid_social,iOS,high_intent,25-34
500085,2026-01-05 23:21:00,control,content_seo,Android,mid_intent,25-34
500086,2026-01-26 23:05:00,treatment,paid_social,Android,low_intent,35-44
500087,2026-03-14 09:17:00,control,content_seo,iOS,high_intent,35-44
500088,2026-03-16 20:00:00,control,content_seo,iOS,mid_intent,25-34
500089,2026-02-08 23:51:00,control,app_store,iOS,high_intent,35-44
500090,2026-01-20 02:50:00,treatment,referral,Android,mid_intent,25-34
500091,2026-01-22 13:10:00,treatment,app_store,Android,high_intent,25-34
500092,2026-01-05 01:20:00,control,referral,iOS,mid_intent,25-34
500093,2026-01-29 20:08:00,control,offline_broker,iOS,mid_intent,25-34
500094,2026-01-27 17:15:00,control,content_seo,Android,low_intent,25-34
500095,2026-01-10 20:38:00,treatment,referral,iOS,mid_intent,25-34
500096,2026-03-10 06:49:00,treatment,referral,Android,mid_intent,25-34
500097,2026-01-03 10:57:00,control,offline_broker,Android,high_intent,25-34
500098,2026-02-19 02:26:00,control,offline_broker,iOS,mid_intent,25-34
500099,2026-01-11 17:12:00,control,paid_social,iOS,low_intent,18-24
500100,2026-03-16 12:05:00,control,paid_social,iOS,low_intent,35-44
500101,2026-01-21 03:19:00,treatment,app_store,iOS,mid_intent,25-34
500102,2026-01-16 01:56:00,treatment,app_store,Android,low_intent,25-34
500103,2026-02-07 16:45:00,control,app_store,iOS,mid_intent,18-24
500104,2026-03-07 09:17:00,treatment,referral,Android,low_intent,25-34
500105,2026-01-12 03:49:00,treatment,content_seo,Android,mid_intent,25-34
500106,2026-03-07 16:33:00,control,offline_broker,Android,mid_intent,18-24
500107,2026-02-10 02:00:00,control,app_store,iOS,mid_intent,18-24
500108,2026-01-11 13:37:00,treatment,referral,Android,low_intent,18-24
500109,2026-02-08 11:03:00,control,app_store,iOS,mid_intent,45+
500110,2026-01-02 15:31:00,treatment,app_store,Android,high_intent,35-44
500111,2026-02-18 17:12:00,control,referral,iOS,high_intent,25-34
500112,2026-02-09 14:30:00,control,paid_social,iOS,low_intent,45+
500113,2026-02-28 12:32:00,control,offline_broker,Android,low_intent,25-34
500114,2026-03-06 11:03:00,treatment,app_store,Android,low_intent,18-24
500115,2026-01-31 02:54:00,treatment,offline_broker,iOS,high_intent,25-34
500116,2026-01-30 10:01:00,treatment,referral,Android,high_intent,25-34
500117,2026-01-11 18:04:00,treatment,paid_social,Android,low_intent,45+
500118,2026-03-15 02:33:00,treatment,paid_social,iOS,high_intent,25-34
500119,2026-02-27 23:04:00,treatment,paid_social,Android,mid_intent,18-24
500120,2026-02-24 10:58:00,treatment,offline_broker,iOS,high_intent,18-24
500121,2026-03-15 14:27:00,control,paid_social,Android,low_intent,35-44
500122,2026-02-14 14:35:00,control,paid_social,iOS,mid_intent,25-34
500123,2026-02-23 21:55:00,treatment,referral,iOS,high_intent,35-44
500124,2026-01-03 08:10:00,control,paid_social,iOS,high_intent,25-34
500125,2026-03-02 08:05:00,treatment,content_seo,iOS,mid_intent,18-24
500126,2026-02-10 00:41:00,treatment,paid_social,iOS,low_intent,45+
500127,2026-01-20 11:09:00,control,content_seo,iOS,mid_intent,45+
500128,2026-03-11 11:28:00,control,app_store,Android,mid_intent,25-34
500129,2026-01-02 08:20:00,treatment,referral,iOS,mid_intent,35-44
500130,2026-01-16 22:49:00,control,paid_social,Android,high_intent,35-44
500131,2026-03-09 15:27:00,control,referral,Android,high_intent,25-34
500132,2026-03-04 10:19:00,treatment,app_store,iOS,mid_intent,35-44
500133,2026-02-10 08:55:00,treatment,referral,Android,mid_intent,18-24
500134,2026-02-13 03:30:00,control,referral,Android,high_intent,35-44
500135,2026-02-04 15:36:00,control,offline_broker,iOS,mid_intent,35-44
500136,2026-01-13 14:05:00,control,content_seo,iOS,high_intent,18-24
500137,2026-01-02 22:00:00,control,offline_broker,iOS,mid_intent,25-34
500138,2026-03-07 03:54:00,control,app_store,Android,mid_intent,45+
500139,2026-01-26 08:16:00,control,app_store,iOS,mid_intent,35-44
500140,2026-02-16 05:34:00,treatment,paid_social,iOS,mid_intent,45+
500141,2026-01-02 17:26:00,treatment,paid_social,iOS,mid_intent,25-34
500142,2026-02-20 20:01:00,control,app_store,iOS,low_intent,35-44
500143,2026-02-05 21:02:00,treatment,content_seo,iOS,low_intent,25-34
500144,2026-02-02 07:35:00,treatment,referral,Android,high_intent,35-44
500145,2026-01-18 18:06:00,treatment,referral,iOS,low_intent,18-24
500146,2026-02-11 23:15:00,treatment,content_seo,Android,low_intent,35-44
500147,2026-03-16 10:19:00,control,content_seo,Android,mid_intent,35-44
500148,2026-02-04 14:02:00,treatment,app_store,Android,high_intent,35-44
500149,2026-01-29 21:52:00,treatment,app_store,Android,mid_intent,25-34
500150,2026-01-17 01:27:00,control,app_store,Android,high_intent,25-34
500151,2026-02-11 02:26:00,control,paid_social,iOS,high_intent,18-24
500152,2026-01-15 09:27:00,control,app_store,Android,mid_intent,45+
500153,2026-02-10 05:34:00,treatment,content_seo,iOS,mid_intent,25-34
500154,2026-03-11 13:47:00,treatment,referral,iOS,high_intent,35-44
500155,2026-03-09 07:10:00,treatment,paid_social,Android,low_intent,18-24
500156,2026-01-30 11:29:00,treatment,referral,Android,low_intent,35-44
500157,2026-01-06 07:24:00,treatment,paid_social,Android,low_intent,35-44
500158,2026-02-25 19:41:00,control,paid_social,Android,mid_intent,25-34
500159,2026-02-02 04:35:00,treatment,paid_social,iOS,mid_intent,25-34
500160,2026-01-14 06:21:00,treatment,paid_social,Android,mid_intent,45+
500161,2026-02-02 16:54:00,control,referral,iOS,high_intent,18-24
500162,2026-02-19 18:32:00,control,referral,Android,high_intent,25-34
500163,2026-01-09 20:26:00,control,referral,iOS,mid_intent,18-24
500164,2026-02-27 18:02:00,treatment,offline_broker,Android,low_intent,35-44
500165,2026-01-18 03:42:00,control,paid_social,Android,high_intent,45+
500166,2026-01-16 23:55:00,treatment,referral,iOS,mid_intent,18-24
500167,2026-01-08 00:00:00,control,offline_broker,iOS,high_intent,45+
500168,2026-03-13 00:44:00,control,offline_broker,iOS,low_intent,18-24
500169,2026-03-07 06:51:00,treatment,app_store,Android,mid_intent,25-34
500170,2026-03-08 19:49:00,control,app_store,iOS,mid_intent,35-44
500171,2026-03-02 03:21:00,treatment,referral,Android,mid_intent,35-44
500172,2026-03-01 13:21:00,treatment,paid_social,iOS,low_intent,25-34
500173,2026-02-17 22:18:00,control,referral,Android,mid_intent,35-44
500174,2026-02-16 20:19:00,control,paid_social,Android,mid_intent,25-34
500175,2026-02-26 11:26:00,treatment,paid_social,Android,high_intent,45+
500176,2026-03-15 11:29:00,treatment,app_store,iOS,high_intent,35-44
500177,2026-01-23 13:08:00,treatment,offline_broker,iOS,mid_intent,18-24
500178,2026-03-01 20:52:00,treatment,paid_social,iOS,mid_intent,45+
500179,2026-02-01 18:55:00,treatment,referral,Android,high_intent,25-34
500180,2026-01-25 03:43:00,treatment,app_store,Android,mid_intent,18-24
500181,2026-02-04 05:12:00,treatment,app_store,iOS,high_intent,18-24
500182,2026-03-10 23:42:00,control,offline_broker,iOS,mid_intent,45+
500183,2026-03-01 03:09:00,treatment,app_store,iOS,mid_intent,35-44
500184,2026-01-29 23:46:00,control,content_seo,Android,high_intent,45+
500185,2026-02-08 23:21:00,control,paid_social,Android,high_intent,25-34
500186,2026-02-21 15:03:00,control,content_seo,Android,mid_intent,25-34
500187,2026-01-13 10:01:00,control,app_store,Android,low_intent,35-44
500188,2026-01-06 18:04:00,control,content_seo,Android,low_intent,25-34
500189,2026-03-15 05:03:00,control,app_store,iOS,high_intent,25-34
500190,2026-02-03 09:25:00,control,offline_broker,Android,high_intent,35-44
500191,2026-01-09 09:33:00,treatment,paid_social,Android,mid_intent,35-44
500192,2026-01-06 04:06:00,treatment,paid_social,Android,high_intent,35-44
