user_id,account_completed,retention_7d,complaint_7d,first_deposit_7d,trade_count_7d
500000,0,0,0,0,0
500001,0,0,0,1,0
500002,0,1,0,0,0
500003,0,1,1,0,0
500004,0,0,0,0,0
500005,0,1,0,0,0
500006,0,0,0,0,0
500007,0,0,0,1,0
500008,0,1,0,0,0
500009,1,0,0,1,4
500010,0,0,0,0,0
500011,0,1,0,0,0
500012,0,0,0,0,0
500013,0,0,0,0,0
500014,0,0,0,0,0
500015,0,1,0,1,0
500016,1,0,0,1,0
500017,0,0,0,1,0
500018,0,0,0,0,0
500019,1,1,0,1,1
500020,0,0,0,0,0
500021,0,0,0,0,0
500022,0,0,0,0,0
500023,1,1,0,1,0
500024,0,0,0,1,0
500025,0,0,0,0,0
500026,0,1,0,1,0
500027,0,0,0,0,0
500028,0,1,0,0,0
500029,1,0,0,0,0
500030,0,0,0,0,0
500031,0,0,0,0,0
500032,0,0,0,1,0
500033,0,0,0,0,0
500034,0,1,0,0,0
500035,1,1,0,1,1
500036,1,0,0,0,0
500037,0,0,0,0,0
500038,0,0,0,0,0
500039,0,0,0,0,0
500040,0,1,0,1,0
500041,0,0,0,0,0
500042,0,0,0,0,0
500043,0,0,0,1,0
500044,0,1,0,0,0
500045,1,1,0,1,1
500046,0,0,0,1,0
500047,0,1,0,0,0
500048,1,0,0,1,1
500049,0,0,0,0,0
500050,0,1,0,0,0
500051,0,0,0,0,0
500052,0,0,0,0,0
500053,0,1,0,1,0
500054,1,0,0,1,1
500055,0,0,0,1,0
500056,0,0,0,0,0
500057,0,0,0,0,0
500058,0,1,0,1,0
500059,1,1,0,1,2
500060,0,0,0,1,0
500061,1,0,0,0,0
500062,1,1,0,0,0
500063,0,0,0,0,0
500064,0,0,0,0,0
500065,0,0,0,0,0
500066,0,0,0,0,0
500067,1,0,0,1,0
500068,1,1,0,0,0
500069,0,1,0,0,0
500070,0,0,0,0,0
500071,0,0,0,0,0
500072,0,1,0,0,0
500073,0,1,0,1,0
500074,0,0,0,1,0
500075,1,1,0,1,1
500076,0,1,0,1,0
500077,0,1,0,0,0
500078,0,0,0,1,0
500079,0,1,0,0,0
500080,1,1,0,0,0
500081,1,0,0,0,2
500082,1,0,0,1,2
500083,0,1,0,1,0
500084,0,0,0,1,0
500085,0,0,0,0,0
500086,0,0,0,1,0
500087,1,1,0,1,2
500088,0,1,0,0,0
500089,0,0,0,0,0
500090,0,0,0,1,0
500091,0,0,0,1,0
500092,0,0,0,1,0
500093,0,0,0,1,0
500094,0,1,0,0,0
500095,0,0,0,0,0
500096,1,1,0,1,0
500097,0,1,0,1,0
500098,0,0,0,0,0
500099,0,0,0,0,0
500100,0,1,0,1,0
500101,0,0,0,0,0
500102,0,0,0,1,0
500103,0,0,0,0,0
500104,0,0,0,1,0
500105,0,1,0,0,0
500106,0,0,0,0,0
500107,0,0,0,0,0
500108,1,0,0,0,0
500109,0,0,0,0,0
500110,0,1,0,0,0
500111,1,1,0,1,0
500112,1,0,0,0,1
500113,0,0,0,1,0
500114,0,0,0,0,0
500115,0,0,0,0,0
500116,1,1,0,0,1
500117,0,0,0,1,0
500118,1,0,0,1,3
500119,0,0,0,0,0
500120,0,0,0,0,0
500121,0,0,0,0,0
500122,0,0,0,0,0
500123,0,1,0,0,0
500124,0,0,0,0,0
500125,0,0,0,0,0
500126,0,1,0,0,0
500127,1,0,0,1,2
500128,0,1,0,0,0
500129,1,1,0,1,0
500130,0,1,0,0,0
500131,0,0,0,0,0
500132,0,0,1,1,0
500133,1,0,0,1,1
500134,0,0,0,0,0
500135,0,1,0,0,0
500136,1,1,0,1,1
500137,0,0,0,0,0
500138,0,0,0,0,0
500139,0,1,0,0,0
500140,0,0,0,0,0
500141,0,0,0,1,0
500142,0,0,0,0,0
500143,0,0,0,0,0
500144,0,0,0,0,0
500145,0,1,0,0,0
500146,0,1,0,0,0
500147,0,0,0,0,0
500148,0,0,0,1,0
500149,0,0,0,0,0
500150,0,1,0,1,0
500151,1,0,0,1,2
500152,0,0,0,1,0
500153,0,0,0,0,0
500154,0,1,0,1,0
500155,0,0,0,1,0
500156,0,0,0,0,0
500157,0,1,0,0,0
500158,0,0,0,0,0
500159,1,1,0,1,2
500160,0,0,0,0,0
500161,0,0,0,0,0
500162,0,0,0,0,0
500163,0,0,0,0,0
500164,0,0,0,1,0
500165,0,0,0,0,0
500166,0,0,0,0,0
500167,0,0,0,0,0
500168,0,0,0,0,0
500169,0,0,0,1,0
500170,0,1,0,0,0
500171,1,0,0,0,0
500172,0,1,0,0,0
500173,0,0,0,0,0
500174,0,0,0,0,0
500175,0,0,0,0,0
500176,0,0,0,0,0
500177,0,1,0,0,0
500178,0,0,0,1,0
500179,0,0,0,0,0
500180,0,0,0,0,0
500181,1,1,0,1,3
500182,0,0,0,1,0
500183,0,0,0,1,0
500184,0,0,0,0,0
500185,0,1,1,0,0
500186,1,0,0,1,0
500187,0,1,0,1,0
500188,0,0,0,0,0
500189,0,0,0,0,0
500190,1,1,0,1,3
500191,1,0,0,1,4
500192,0,0,0,1,0
500193,0,0,0,0,0
500194,0,0,0,0,0
500195,0,0,0,0,0
500196,0,0,0,1,0
500197,0,0,0,1,0
500198,0,0,0,0,0
500199,0,1,0,1,0
500200,0,0,0,0,0
500201,0,1,0,0,0
500202,1,1,0,1,3
500203,0,0,1,0,0
500204,1,0,0,0,0
500205,0,0,0,0,0
500206,0,1,0,1,0
500207,0,0,0,0,0
500208,0,1,0,0,0
500209,1,1,0,0,0
500210,0,0,0,1,0
